City_id,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_temp,Wind_Speed
371466,Leer,67,SS,1583980299,48,8.3,30.14,29.36,3.75
3491355,Black River,20,JM,1583980139,73,18.03,-77.85,25,1
2063039,Port Keats,28,AU,1583980299,55,-14.25,129.55,31.85,3.4
2180815,Tuatapere,29,NZ,1583980005,66,-46.13,167.68,15.56,4.02
1651810,Airai,92,TL,1583980300,75,-8.93,125.41,26.14,1.35
662096,Äänekoski,90,FI,1583980300,98,62.69,25.82,0.56,2.1
964712,Plettenberg Bay,99,ZA,1583980300,88,-34.05,23.37,19.25,4.34
463880,Zelenets,100,RU,1583980300,100,61.88,50.75,1,1
2019884,Mogzon,93,RU,1583980301,73,51.74,111.96,-11.87,7.06
6929460,Panzhihua,20,CN,1583980301,29,26.59,101.71,20.5,1.01
3932145,Pisco,100,PE,1583980301,78,-13.7,-76.22,24,3.6
906054,Mongu,98,ZM,1583980301,93,-15.25,23.13,18.91,1.42
526558,Millerovo,100,RU,1583980301,85,48.92,40.4,8.5,6.97
3372707,Ribeira Grande,88,PT,1583980302,86,38.52,-28.7,12.76,4.31
1684803,Tabuk,1,PH,1583980302,64,17.42,121.44,28.84,3.68
2745087,Gemeente Wageningen,75,NL,1583980302,100,51.97,5.67,13,7.2
2538474,Rabat,33,MA,1583980021,93,33.99,-6.84,8,1.5
108410,Riyadh,1,SA,1583980247,41,24.69,46.72,14,2.57
2018735,Nyurba,100,RU,1583980022,94,63.28,118.33,-22.66,4.99
3995017,Navolato,75,MX,1583980233,51,24.77,-107.69,27,4.1
2962961,Letterkenny,67,IE,1583980303,86,54.95,-7.73,0.03,3.72
2172880,Byron Bay,90,AU,1583980203,61,-28.65,153.62,26,8.7
1563926,Tra Vinh,28,VN,1583980304,59,9.93,106.35,31,5.3
6165406,Thompson,90,CA,1583980304,53,55.74,-97.86,-6,3.6
3374210,São Filipe,0,CV,1583980304,62,14.9,-24.5,23.49,4.44
1505495,Irtyshskiy,100,RU,1583980304,97,58.33,68.13,2.3,5.51
545267,Konstantinovskoye,48,RU,1583980304,66,45.3,42.64,9,5
2980043,Arrondissement de Saint-Gaudens,100,FR,1583980305,81,43.08,0.67,11.67,2.6
2132606,Samarai,100,PG,1583980305,84,-10.62,150.67,28.2,3.03
2643044,Margate,75,GB,1583980305,71,51.38,1.39,10,7.7
358620,Safaga,75,EG,1583980305,50,26.73,33.94,24,2.6
1855540,Naze,75,JP,1583980305,52,28.37,129.48,18,2.1
645765,Muhos,90,FI,1583980306,98,64.81,25.99,1.11,2.1
4034551,Faanui,100,PF,1583980306,69,-16.48,-151.75,28.49,2.82
2122605,Okhotsk,100,RU,1583980306,54,59.38,143.3,-8.15,12.36
2158767,Mareeba,75,AU,1583980306,94,-17,145.43,26.67,7.2
3985168,San Patricio,20,MX,1583980306,78,19.22,-104.7,25,1.24
5233053,Yankton,1,US,1583980129,76,42.87,-97.4,11,5.7
1267433,Kattivākkam,40,IN,1583980307,83,13.22,80.32,26.11,2.1
299900,Talas,75,TR,1583980307,65,38.69,35.55,5,0.93
6171633,Ucluelet,40,CA,1583980295,65,48.93,-125.55,8,8.7
3671497,Puerto Colombia,40,CO,1583980308,83,10.99,-74.95,26,7.7
3529654,Dzilam González,0,MX,1583980308,83,21.28,-88.93,24.16,8.6
2173125,Burnie,58,AU,1583980146,75,-41.07,145.92,21.67,2.24
4231997,Avera,1,US,1583980308,88,33.19,-82.53,20,0.94
935215,Saint-Philippe,39,RE,1583980097,94,-21.36,55.77,26,7.7
3394023,Natal,40,BR,1583980285,88,-5.79,-35.21,26,1.5
4529469,Ardmore,1,US,1583980158,68,34.17,-97.14,22.78,0.87
3456166,Nova Friburgo,7,BR,1583980309,94,-22.28,-42.53,16.01,1.2
2294915,Takoradze,54,GH,1583980310,91,4.88,-1.76,25.71,1.03
7341918,Moba,31,CN,1583980310,46,33.23,105.02,10.4,0.76
2986626,Plouzané,75,FR,1583980310,93,48.38,-4.62,9,3.6
1229901,Polonnaruwa,29,LK,1583980310,70,7.93,81,26.15,1.5
5391959,San Francisco,20,US,1583980016,67,37.77,-122.42,20,8.2
6089245,Norman Wells,90,CA,1583980311,70,65.28,-126.83,-21,6.2
2013921,Ust-Kuyga,2,RU,1583980311,94,70.02,135.6,-28.18,4.1
2191562,Dunedin,2,NZ,1583980311,61,-45.87,170.5,16.11,5.36
2686469,Örnsköldsvik,90,SE,1583980311,100,63.29,18.72,-1,2.1
2449893,Tessalit,100,ML,1583980311,10,20.2,1.01,21.44,9.5
2033370,Yingkou,100,CN,1583980116,58,40.66,122.23,2.28,9.29
2013465,Verkhoyansk,20,RU,1583980312,80,67.54,133.38,-26.7,0.8
3663517,Manaus,45,BR,1583980312,79,-3.1,-60.02,29,2.1
932960,Werda,9,BW,1583980312,39,-25.27,23.28,22.57,3.1
3412093,Vestmannaeyjar,92,IS,1583980313,62,63.44,-20.27,1.94,6.96
2122262,Palana,100,RU,1583980313,100,59.12,159.97,1.02,3.15
1801640,Luzhou,0,CN,1583980313,48,28.87,105.44,18.24,0.94
1269573,Jagdīspur,75,IN,1583980313,100,25.48,84.42,19,1
1337619,Ugoofaaru,97,MV,1583980314,68,5.67,73,28.43,5.22
3386177,Trairi,100,BR,1583980274,96,-3.28,-39.27,23.05,0.39
639734,Rauma,90,FI,1583980314,88,61.13,21.51,1,2.6
871870,Mursalimkino,62,RU,1583980314,61,55.04,58.56,-0.21,2.4
2037078,Hailar,0,CN,1583980314,67,49.2,119.7,-18.09,9.37
204953,Tshikapa,100,CD,1583980315,99,-6.42,20.8,21.28,0.75
3408368,Acaraú,100,BR,1583980315,97,-2.89,-40.12,23.27,1.63
543246,Kozhva,100,RU,1583980315,98,65.11,57.05,0.42,3.44
5746545,Portland,20,US,1583980145,43,45.52,-122.68,11.67,6.7
1180379,Daultala,90,PK,1583980315,93,33.19,73.14,13.33,11.3
286245,Sur,0,OM,1583980029,29,22.57,59.53,17.55,0.45
1714733,Dingle,48,PH,1583980316,63,11,122.67,28.43,6.04
3887127,Iquique,0,CL,1583980170,60,-20.22,-70.14,23,4.6
6620339,Karratha,100,AU,1583980316,80,-20.74,116.85,29.75,10.01
3372783,Ponta Delgada,40,PT,1583980316,87,37.73,-25.67,15,4.6
6050066,La Ronge,90,CA,1583980317,79,55.1,-105.28,-4,8.2
3399506,Floriano,22,BR,1583980317,81,-6.77,-43.02,24.28,0.88
1337616,Naifaru,79,MV,1583980317,68,5.44,73.37,28.44,4.99
158321,Karema,100,TZ,1583980317,82,-6.82,30.44,22.48,1.64
2126682,Bilibino,100,RU,1583980318,92,68.05,166.44,-17.84,2.48
1106677,Bambous Virieux,40,MU,1583980315,100,-20.34,57.76,26.11,3.15
4845585,Westport,90,US,1583980318,29,41.14,-73.36,9.44,1.5
1734841,Kuala Pilah,20,MY,1583980318,70,2.74,102.25,29,3.6
489102,Staraya Poltavka,99,RU,1583980318,91,50.48,46.48,7.97,6.26
2126199,Cherskiy,100,RU,1583980319,88,68.75,161.3,-17.91,4.76
3391287,Prainha,30,BR,1583980319,75,-1.8,-53.48,24.2,1
2013986,Ust'-Barguzin,99,RU,1583980319,92,53.45,108.98,-12.05,0.86
1651103,Atambua,85,ID,1583980319,67,-9.11,124.89,29.01,2.24
2272491,Zwedru,1,LR,1583980319,94,6.07,-8.13,23.03,1.24
1214488,Meulaboh,28,ID,1583980320,83,4.14,96.13,27.41,2.94
468747,Yashkul',45,RU,1583980320,80,46.17,45.34,9.95,3.53
2171099,Codrington,69,AU,1583980228,55,-38.27,141.97,22.47,3.2
3373329,Arrifes,40,PT,1583980320,87,37.77,-25.7,15,4.6
6137381,Saint-Ambroise,75,CA,1583980320,84,48.55,-71.33,-16,0.42
2521582,Arona,20,ES,1583980076,67,28.1,-16.68,19.44,2.6
1528998,Yumen,100,CN,1583980321,43,40.28,97.2,-1.6,3.12
2171465,Clarence Town,40,AU,1583980321,41,-32.58,151.78,27.22,6.2
153955,Micheweni,87,TZ,1583980322,78,-4.97,39.83,28.85,5.31
1809498,Guilin,90,CN,1583980051,100,25.28,110.29,13,0.75
3346821,Ondjiva,53,AO,1583980322,67,-17.07,15.73,20.52,1.75
3526756,Isla Mujeres,5,MX,1583980182,73,21.23,-86.73,24,2.1
2641434,Northam,20,GB,1583980322,80,51.03,-4.22,7.22,4.6
2671392,Strängnäs,68,SE,1583980323,80,59.38,17.03,6.11,8.2
1819729,Hong Kong,40,HK,1583980323,73,22.29,114.16,24.44,6.7
2460596,Bamako,0,ML,1583980323,8,12.65,-8,23,1
503067,Rakitnoye,75,RU,1583980323,93,50.84,35.85,6,5
4014336,Chihuahua,90,MX,1583980323,28,28.5,-106,23,4.1
3059870,Hriňová,90,SK,1583980324,93,48.58,19.53,9,0.5
2028164,Deputatsky,0,RU,1583980324,86,69.3,139.9,-27.85,1.41
2150163,Sawtell,68,AU,1583980324,64,-30.38,153.1,25,6.7
1337607,Kudahuvadhoo,61,MV,1583980324,72,2.67,72.89,28.45,5.02
2027487,Arkhara,100,RU,1583980325,93,49.42,130.08,-3.62,4.26
5838199,Sheridan,90,US,1583980325,52,44.83,-106.92,9,12.9
3470137,Belmonte,75,BR,1583980325,94,-15.86,-38.88,24,2.6
2122574,Ola,100,RU,1583980138,90,59.58,151.28,-10.76,8.47
2404472,Koyima,100,SL,1583980325,90,8.7,-11.03,23.01,0.91
1519275,Shar,0,KZ,1583980326,82,49.59,81.05,-9.97,5.19
569170,Cherkasskoye,95,RU,1583980326,90,52.43,47.22,7.03,5.96
3668605,Santa Marta,75,CO,1583980037,65,11.24,-74.2,28,4.6
1793533,Taixing,60,CN,1583980326,59,32.17,120.01,18.89,0.89
2126710,Beringovskiy,100,RU,1583980314,95,63.05,179.32,-3.21,9.69
6301965,Howard Springs,20,AU,1583980327,59,-12.5,131.05,34.44,3.1
3464008,Esmeraldas,10,BR,1583980327,78,-19.76,-44.31,23,4.1
2293801,Yendi,100,GH,1583980327,50,9.44,-0.01,27.36,1.9
2322911,Sokoto,99,NG,1583980328,14,13.06,5.24,23.55,6.26
780687,Berlevåg,100,NO,1583980328,81,70.86,29.09,-0.93,6.94
3135601,Stryn,100,NO,1583980328,91,61.9,6.72,1.67,2.24
2290964,Bouaflé,94,CI,1583980328,88,6.99,-5.74,27,1.78
1283285,Jumla,10,NP,1583980329,42,29.27,82.18,5.39,1.34
1637001,Luwuk,0,ID,1583980329,72,-0.95,122.79,29.14,2.91
1640972,Katobu,97,ID,1583980329,64,-4.94,122.53,31.79,0.84
1164306,Surab,0,PK,1583980329,57,28.49,66.26,-1.82,10.57
1497337,Kayerkan,75,RU,1583980329,76,69.35,87.76,-21,12
5354943,Half Moon Bay,20,US,1583980272,67,37.46,-122.43,19.44,8.2
468776,Yashalta,26,RU,1583980330,86,46.34,42.28,8.35,4.28
3712076,Colón,20,PA,1583980330,78,9.36,-79.9,28,2.6
581540,Antipovka,67,RU,1583980330,91,49.83,45.31,8.13,5.34
2098329,Daru,100,PG,1583980049,69,-9.08,143.21,29.97,4.37
2332079,Lere,100,NG,1583980331,12,10.39,8.57,20.25,2.42
470905,Vuktyl,100,RU,1583980331,100,63.86,57.31,1.17,4.19
3436199,Azul,73,AR,1583980331,98,-36.78,-59.86,17.03,2.06
1637001,Biak,0,ID,1583980331,72,-0.91,122.88,29.14,2.91
1794794,Shouguang,93,CN,1583980332,41,36.88,118.74,18.33,1.34
934649,Cap Malheureux,40,MU,1583980332,100,-19.98,57.61,26.11,4.63
1337613,Kulhudhuffushi,100,MV,1583980332,69,6.62,73.07,28.38,3.93
584087,Afrikanda,100,RU,1583980332,96,67.44,32.78,-7.7,1.44
4036284,Alofi,75,NU,1583980333,88,-19.06,-169.92,28,3.1
2708365,Halmstad,100,SE,1583980333,87,56.67,12.86,6.11,8.2
3929611,San Jerónimo,100,PE,1583980333,91,-11.95,-75.28,3.8,1.93
6149996,Smithers,40,CA,1583980333,91,54.78,-127.17,0,2.6
1255619,Srīvardhan,0,IN,1583980334,63,18.03,73.02,23.19,3.61
1495586,Parabel',100,RU,1583980334,98,58.7,81.48,-0.03,3.91
3471309,Auriflama,0,BR,1583980334,51,-20.69,-50.55,28,4.1
605155,Kiruna,100,SE,1583980334,92,67.86,20.23,-7,2.18
1513491,Yangi Marg`ilon,75,UZ,1583980326,50,40.43,71.72,4,1
2176639,Batemans Bay,0,AU,1583980335,61,-35.72,150.18,22.78,0.89
2014624,Udachny,90,RU,1583980335,77,66.42,112.4,-17,4
161974,Bereket,33,TM,1583980335,28,39.24,55.52,8.42,0.93
380348,Abū Zabad,49,SD,1583980335,16,12.35,29.25,24.45,2.7
4074277,Madison,90,US,1583980336,82,34.73,-86.57,16.11,1.5
1633419,Padang,0,ID,1583980336,56,-0.95,100.35,28.87,1.08
3838859,Río Gallegos,67,AR,1583980336,93,-51.62,-69.22,10,3.1
1512223,Abalak,100,RU,1583980336,98,58.13,68.59,2.43,4.61
528278,Mayna,98,RU,1583980336,91,54.11,47.62,6.83,7.82
553416,Kamenskiy,100,RU,1583980337,83,50.89,45.49,7.22,6.07
5267332,Platteville,1,US,1583980337,93,42.73,-90.48,4.44,2.6
3934707,Mollendo,46,PE,1583980337,83,-17.02,-72.01,21.15,3.67
1527497,Kyzyl-Suu,0,KG,1583980337,57,42.34,78,-0.94,2.42
3115824,Muros,40,ES,1583980337,100,42.78,-9.06,12.22,3.1
1516905,Taraz,67,KZ,1583980338,80,42.9,71.37,2,1
370510,Marabba,13,SD,1583980338,15,12.35,32.18,25.21,2.43
1508230,Cheremnoye,56,RU,1583980338,78,53.17,83.21,-9,8
7671223,Kloulklubed,75,PW,1583980039,74,7.04,134.26,29,6.7
2177069,Ballina,90,AU,1583980338,61,-28.87,153.57,26,8.7
988356,Kokstad,99,ZA,1583980339,98,-30.55,29.42,12.78,1.09
2235660,Ambam,100,CM,1583980339,99,2.38,11.28,20.84,1.03
1581349,Ha Giang,48,VN,1583980339,72,22.83,104.98,20.4,2.41
1337610,Thinadhoo,100,MV,1583980339,72,0.53,72.93,28.43,5.94
